date,transaction_type,amount
2023-08-03,Expense,20000.0
2023-08-08,Expense,186450.0
2023-08-08,Income,190000.0
2023-08-11,Income,1200000.0
2023-08-12,Expense,384000.0
2023-08-12,Expense,400000.0
2023-08-14,Expense,150000.0
2023-08-16,Expense,5500.0
2023-08-16,Expense,2500.0
2023-08-18,Expense,500.0
2023-08-23,Expense,100000.0
2023-08-29,Expense,164000.0
2023-09-01,Income,1200000.0
2023-09-04,Expense,200000.0
2023-09-04,Income,100000.0
2023-09-04,Expense,100000.0
2023-09-04,Expense,100000.0
2023-09-06,Expense,500.0
2023-09-08,Expense,50000.0
2023-09-14,Income,37000.0
2023-09-15,Income,100000.0
2023-09-15,Expense,513400.0
2023-09-16,Expense,5500.0
2023-09-16,Expense,2500.0
2023-09-16,Expense,100000.0
2023-09-18,Expense,250130.0
2023-09-22,Expense,500.0
2023-09-23,Expense,20000.0
2023-09-24,Expense,10000.0
2023-09-26,Expense,20000.0
2023-09-28,Expense,20000.0
2023-09-28,Income,150000.0
2023-09-30,Income,20000.0
2023-09-30,Expense,50000.0
2023-09-30,Expense,1000.0
2023-10-01,Income,1200000.0
2023-10-03,Expense,700000.0
2023-10-04,Expense,376050.0
2023-10-04,Expense,150000.0
2023-10-06,Expense,500.0
2023-10-10,Expense,500.0
2023-10-16,Expense,5500.0
2023-10-16,Expense,77682.0
2023-10-16,Expense,2500.0
2023-10-25,Expense,90053.0
2023-10-25,Income,10000.0
2023-10-25,Income,300000.0
2023-10-25,Expense,250000.0
2023-11-01,Income,1200000.0
2023-11-01,Expense,200000.0
2023-11-01,Expense,300000.0
2023-11-02,Expense,300318.0
2023-11-06,Expense,500.0
2023-11-10,Expense,268250.0
2023-11-16,Expense,2500.0
2023-11-16,Expense,5500.0
2023-12-01,Expense,100000.0
2023-12-03,Income,1200000.0
2023-12-06,Expense,182300.0
2023-12-06,Expense,300000.0
2023-12-06,Expense,100000.0
2023-12-06,Expense,11900.0
2023-12-10,Expense,500.0
2023-12-15,Expense,100000.0
2023-12-16,Expense,2500.0
2023-12-16,Expense,5500.0
2023-12-20,Expense,300000.0
2023-12-25,Expense,77808.0
2023-12-29,Income,100000.0
2023-12-29,Income,450000.0
2023-12-29,Expense,100000.0
2023-12-29,Expense,111900.0
2023-12-29,Expense,337100.0
2023-12-30,Expense,100000.0
2024-01-01,Income,1200000.0
2024-01-02,Expense,680000.0
2024-01-02,Expense,2500.0
2024-01-02,Expense,100000.0
2024-01-02,Expense,15000.0
2024-01-02,Expense,1500.0
2024-01-02,Expense,200000.0
2024-01-02,Expense,400183.0
2024-01-02,Expense,1500.0
2024-01-04,Expense,500.0
2024-01-06,Expense,500.0
2024-01-08,Expense,50000.0
2024-01-09,Expense,1000.0
2024-01-09,Expense,1000.0
2024-01-09,Expense,60000.0
2024-01-09,Expense,20000.0
2024-01-11,Expense,3000.0
2024-01-11,Expense,50000.0
2024-01-12,Expense,50178.0
2024-01-12,Expense,67000.0
2024-01-13,Expense,200000.0
2024-01-14,Expense,100000.0
2024-01-14,Expense,20000.0
2024-01-15,Expense,2500.0
2024-01-15,Expense,368000.0
2024-01-16,Expense,2500.0
2024-01-16,Expense,5500.0
2024-01-19,Expense,33500.0
2024-01-20,Expense,6000.0
2024-01-20,Expense,1000.0
2024-01-23,Expense,58000.0
2024-01-23,Expense,2500.0
2024-01-23,Income,500000.0
2024-01-23,Income,5000000.0
2024-01-25,Expense,2800000.0
2024-01-25,Expense,3000000.0
2024-01-26,Expense,50000.0
2024-01-28,Expense,2000.0
2024-01-29,Income,2735000.0
2024-01-30,Expense,2500.0
2024-01-30,Income,300000.0
2024-01-30,Expense,2800000.0
